N,a,v,t,a_hat,v_hat,t_hat
10,1.7047510161554245,0.8860982027757409,0.240099453263651,0.021617134202102834,0.08342437544975015,-1.5034393529611612
10,1.738540891983404,1.8002284277119422,0.39228395650088643,0.07993043664469561,0.12989858591961215,-0.6032759111656071
10,1.935322332233582,0.8850464634331339,0.13165591049554345,-0.0325387861038089,0.11816979844579448,-1.3779406623500694
10,1.3317847960561773,1.3138798860434888,0.24849851811824084,0.020425147243627918,0.11650943046920843,-0.791830736376888
10,0.5713263738801238,0.5947286632918672,0.2779757903644153,0.10517545383517941,0.2897700361658145,-0.3964767485636873
10,1.7106130695770876,1.3302908858707192,0.2696706260076606,-0.017420850824927014,0.12527595096100771,-0.9848466014496031
10,1.5863100477352219,1.325284026772241,0.2733012781535517,0.07946254075472049,0.11488386514462459,-0.8954197563361912
10,0.5693911042995641,1.0852936073802484,0.33874543066148943,0.11822369057321477,0.2621244979227435,-0.15126835257399351
10,1.21320426341848,1.8017184425786041,0.3991025141186499,0.0452021655028761,0.25284737958573045,-0.2980274190321903
10,1.988163845940619,1.7509719878191534,0.4150664663743682,0.02812615500655087,0.11615271934320974,-0.7118676681687401
10,1.1570831141788214,0.8305997802911604,0.24800308597851264,0.056649061349700026,0.11755780771736231,-1.0738383707936368
10,1.4625757707718003,0.7674325400593311,0.4708788380658794,0.05656918346654789,0.09468167240933738,-0.839912841988261
10,1.9189087048909745,0.6636693198442144,0.17434695308581505,-0.009091772249908626,0.08834021254864408,-1.980724525457638
10,1.4525028463705765,1.8566167618699472,0.12723969548933295,0.01435085478745084,0.16582453812588807,-0.7049074285166652
10,1.7775546326767482,1.4187193458196121,0.4700127350521776,0.03639141321953686,0.15052756211761692,-0.811508292163265
10,1.0237151524932344,1.4288331783043584,0.46160416005053034,0.12301747086009653,0.21179225596408402,-0.15137974564085033
10,1.5217903139034807,0.6979235682142381,0.30783511019820936,0.07824695651807495,0.10763477139923497,-0.8618606109238627
10,1.6039990161182358,1.3997554065507853,0.3115200178462927,-0.01750965164357434,0.1504533099762648,-0.7866235188007067
10,0.6063930501347956,1.377846892410443,0.383294016577005,0.17633331237958935,0.420763338300829,0.08271616522971441
10,0.9646060626024259,1.189360818182742,0.3895952433383908,0.09209965325863861,0.16919651423535745,-0.4297476146699986
10,1.4035321378206715,0.8165689719700567,0.4047823223167788,0.05057658862301188,0.10160283750392504,-0.8607441903804214
10,0.7097527930587713,1.6307117395296395,0.38291001056339424,0.11162039396643658,0.2943577144222321,-0.09011326786644593
10,0.7299990329922651,1.226246377795656,0.377608577673887,0.07771462221225092,0.20679724475627706,-0.2615975446419992
10,0.8069088323210034,0.5289249781550847,0.2770771037386321,0.07389984490304866,0.1577882320288761,-0.3307596010621653
10,0.7607722295382281,1.7664469387684971,0.3966303404387077,0.15199355534713607,0.30269030420594184,-0.08355408659287895
10,1.247123992477374,1.0325852376601046,0.45143390108065234,0.03056103225520617,0.11490237154841955,-0.7095704119133579
10,1.290956649066593,0.5765532181827289,0.11537349118708602,0.051383725059613056,0.10551529489547508,-1.3008830369447193
10,0.8163297762240218,0.7067331634915065,0.18831920471716607,0.0671651968803485,0.18754904713580622,-0.4986395724838536
10,0.6861035850711359,1.5023783314167471,0.4577100193688446,0.12341509187272343,0.26499951435196994,-0.04802471957830813
10,1.252978965280109,1.9034785813170783,0.22478743051559175,0.07254191198009123,0.21176781516252957,-0.41756619378615645
10,1.4065482693202274,0.6601343191831468,0.27683784981959425,0.04483461273874998,0.09013542995067379,-0.993766477368704
10,1.9375954719897202,1.993223481952243,0.3317638312252327,0.07831947255325328,0.12852622056067034,-0.6901521318816344
10,0.9976370708952217,0.9177718503924788,0.2961654799726501,0.029042037811351527,0.18763319513407792,-0.5750124064139082
10,1.7103093457514373,1.504781348868283,0.4328094974542423,0.05342614079824343,0.12071181644613152,-0.5216901543177843
10,0.9323342224502951,1.8062132597889802,0.487870016950138,0.08871629280507759,0.39304880905450706,-0.07333932080075296
10,1.8604006569857003,1.779091897355285,0.22565047671581412,0.07281840321046125,0.1575211666057803,-0.5142739660864296
10,1.9927149934517607,1.3250258905375458,0.3509397424483561,0.0064087771927101075,0.10154739491348744,-1.0325784307559127
10,1.4344772063209985,1.8177383131371534,0.176265128600431,0.06435794251960983,0.19059804779418574,-0.6153109797319524
10,1.8322243862675238,1.8163645655854834,0.4573897278539334,0.06736956376756251,0.13123441649112033,-0.5989768740667416
10,1.165325191116791,1.5317740563676934,0.44064942823358777,0.11541566909121076,0.19472620959749032,-0.2820878416632478
10,0.8494444370328353,1.9713441459073113,0.47962716024656094,0.14772461112060395,0.2573985916844521,0.006001183501797777
10,0.5854185719743998,0.7904466044788008,0.35873695407812134,0.18626274572269438,0.32249887943522443,-3.8164001508037004e-05
10,1.2510094818113164,0.9854649767523824,0.4615204150828715,0.06284635094252915,0.14950613746788696,-0.6660399476569581
10,1.3113011436245683,1.6017365748798462,0.2389768378016882,0.02395111967117466,0.1746023573823832,-0.6211407766639072
10,1.5672528880852319,1.1682170886049472,0.24450530528496459,0.0498653780039154,0.10155432437317113,-1.0343070310139781
10,0.6546563740340962,0.5787050860112737,0.208813252734454,0.057941902932317324,0.13950514339076123,-0.8408070690701228
10,1.1344731183981798,1.7835245968747457,0.1652545302244414,-0.03186533175179535,0.21824539168484622,-0.5193253234894356
10,0.8207847822414069,0.959870430237542,0.25823895186780094,0.023933141194960508,0.18444089390545104,-0.5804725952267353
10,0.8473558353828933,0.8593368752817483,0.43612612816787205,0.15318757972349295,0.2113959457838479,-0.47444864791844044
10,0.9051948214696559,1.349120783109209,0.20760062595286302,0.031073290111066153,0.21581065030895438,-0.5056825458990258
10,1.7484570537991377,1.5767898781589051,0.48621453731277087,0.034785829840713905,0.11691752559354956,-0.6604739635923453
10,0.7244968445457778,1.4339649089860569,0.3378586597586035,0.11141513811412417,0.24256660038227312,-0.2139042314486766
10,0.9289106605228794,1.2222015345074175,0.18405522771931848,0.056422881724121875,0.19564111703690582,-0.5406014195271882
10,1.4794060681764942,1.4591061089510526,0.3876980311589437,0.06061583668412016,0.12783881722658275,-0.6598017148047646
10,1.2388028988146491,1.2354629164443114,0.39875197842127896,0.040129432102616665,0.13847617023768014,-0.6483252941570355
10,0.918574235694619,1.9286370848052838,0.27685222110996466,0.03651781568645757,0.2442398484619273,-0.24940580549206615
10,0.6677242700657456,1.7516992987819984,0.21559088727379408,0.08164147450818518,0.3539756119259971,-0.2057782911045748
10,1.3663658892687958,1.84300430438055,0.14136678665098423,-0.003309877957403158,0.15043472061464425,-0.6412365956022897
10,1.270827452027382,1.3886669095672424,0.21357794883110315,0.007078682715582469,0.1697373014554149,-0.7332703099650489
10,0.665139411365296,1.8107863921804173,0.33883707770625815,0.0836033671046864,0.35186074967254866,-0.07390947809665017
10,0.5904193214936511,1.4853088973183124,0.4391031729420596,0.15351716830298157,0.3280384332542441,-0.0062631708676803705
10,0.665094861374673,0.8508215922531734,0.3027739513732717,0.06960821439220363,0.19207211695542437,-0.5161456630289215
10,0.5182231264147854,0.6337359256375384,0.24395738071189454,0.1995285572534586,0.37198024546327424,0.05729649756238804
10,0.5824181538159531,1.1201749860577312,0.4642989046192565,0.163717126810934,0.37963402409257374,0.016470576601685924
10,1.5893361926873966,1.825584664414067,0.1404414025649562,-0.05528963223053916,0.2206891791244803,-0.7509971647625605
10,1.187058540901519,1.3121111846034375,0.33728663077847654,0.0745721120896479,0.1607119860862866,-0.600614703025756
